IPC,Dup_Count,Project_ID,School_Name,Project_Name,Division,Region
INF-01-2025-00889,2,1100190,Abra ES,Construction of 1STY3CL with Toilet,SANTIAGO CITY,REGION II
INF-01-2025-00889,2,1099249,Ag-agrao NHS,Construction of School Building,ILOCOS SUR,Region I
INF-01-2025-00890,2,1100186,Malini ES,Construction of 1STY3CL with Toilet,SANTIAGO CITY,REGION II
INF-01-2025-00890,2,1099250,Castor Z. Concepcion MNHS,Construction of School Building,LA UNION,Region I
INF-01-2025-00891,2,1100189,Sagana Elementary School,Construction of 1STY3CL with Toilet,SANTIAGO CITY,REGION II
INF-01-2025-00891,2,1099251,Cadapli Elementary School,Construction of School Building,LA UNION,Region I
INF-01-2025-00892,2,1108192,Salvador IS,Construction of 1STY3CL with Toilet,SANTIAGO CITY,REGION II
INF-01-2025-00892,2,1099252,Mindoro Integrated School,Construction of School Building,LA UNION,Region I
INF-01-2025-00893,2,1100193,San Isidro ES,Construction of 1STY3CL with Toilet,SANTIAGO CITY,REGION II
INF-01-2025-00893,2,1099253,Bungro-Sucoc Integrated School,Construction of School Building,LA UNION,Region I
INF-01-2025-00894,2,1100195,Villa Gonzaga ES,Construction of 1STY3CL with Toilet,SANTIAGO CITY,REGION II
INF-01-2025-00894,2,1099254,Cantoria CS,Construction of School Building,LA UNION,Region I
INF-01-2025-00928,2,1100147,Dadap ES,Construction of 2STY4CL,ISABELA,REGION II
INF-01-2025-00928,2,1099288,Sta. Catalina ES,Construction of 2STY6CL,"PANGASINAN II, BINALONAN",Region I
INF-01-2025-00929,2,1105274,Luna NHS,Construction of 2STY4CL,ISABELA,REGION II
INF-01-2025-00929,2,1099289,Unzad ES,Construction of 2STY6CL,"PANGASINAN II, BINALONAN",Region I
INF-01-2025-00934,2,1101438,Semirara Elementary School,Construction of 2STY4CL,ANTIQUE,REGION VI
INF-01-2025-00934,2,1099294,Antipangol ES,Construction of 1STY2CL,SAN CARLOS CITY (PANGASINAN),Region I
INF-01-2025-00935,2,1108189,Lipata-Lamputong Integrated School,Construction of 2STY4CL,ANTIQUE,REGION VI
INF-01-2025-00935,2,1099295,Aponit ES,Construction of 1STY2CL,SAN CARLOS CITY (PANGASINAN),Region I
INF-01-2025-00936,2,1108211,La Paz Integrated School,Construction of 2STY4CL,ANTIQUE,REGION VI
INF-01-2025-00936,2,1099296,Bacnar ES,Construction of 1STY2CL,SAN CARLOS CITY (PANGASINAN),Region I
INF-01-2025-00962,2,1108058,Sinsayon NHS,Construction of 2STY6CL,SANTIAGO CITY,REGION II
